did,desc_tokens,score_desc,score_desc_norm,hits_desc_norm,domain_desc
46,268,40,0.14925373134328357,0.022388059701492536,biology
40670,279,33,0.11827956989247312,0.017921146953405017,biology
1128,344,33,0.09593023255813954,0.014534883720930232,biology
1130,344,33,0.09593023255813954,0.014534883720930232,biology
1134,344,33,0.09593023255813954,0.014534883720930232,biology
1494,709,26,0.036671368124118475,0.005641748942172073,biology
1145,344,33,0.09593023255813954,0.014534883720930232,biology
1140,344,33,0.09593023255813954,0.014534883720930232,biology
1157,344,33,0.09593023255813954,0.014534883720930232,biology
1136,344,33,0.09593023255813954,0.014534883720930232,biology
1132,344,33,0.09593023255813954,0.014534883720930232,biology
46827,197,19,0.09644670050761421,0.015228426395939087,biology
4134,103,17,0.1650485436893204,0.02912621359223301,biology
1412,79,16,0.20253164556962025,0.0379746835443038,biology
46850,186,11,0.05913978494623656,0.010752688172043012,biology
151,346,8,0.023121387283236993,0.002890173410404624,biology
316,39,8,0.20512820512820512,0.02564102564102564,biology
1011,49,0,0.0,0.0,none
46874,189,41,0.21693121693121692,0.042328042328042326,education
1508,359,31,0.08635097493036212,0.016713091922005572,education
46960,194,18,0.09278350515463918,0.020618556701030927,education
43255,1,0,0.0,0.0,none
43890,51,12,0.23529411764705882,0.0392156862745098,education
46940,157,5,0.03184713375796178,0.006369426751592357,text
43895,65,7,0.1076923076923077,0.015384615384615385,education
1461,375,26,0.06933333333333333,0.010666666666666666,finance
46526,66,18,0.2727272727272727,0.045454545454545456,finance
42477,477,18,0.03773584905660377,0.006289308176100629,finance
46372,50,18,0.36,0.06,finance
46382,39,16,0.41025641025641024,0.07692307692307693,finance
46455,90,14,0.15555555555555556,0.022222222222222223,finance
31,220,13,0.05909090909090909,0.00909090909090909,finance
44097,220,13,0.05909090909090909,0.00909090909090909,finance
44098,220,13,0.05909090909090909,0.00909090909090909,finance
46962,225,11,0.04888888888888889,0.008888888888888889,finance
1495,186,11,0.05913978494623656,0.010752688172043012,finance
49,1537,51,0.03318152244632401,0.005855562784645413,health
15,384,30,0.078125,0.013020833333333334,health
13,569,25,0.043936731107205626,0.007029876977152899,health
45557,421,23,0.05463182897862233,0.009501187648456057,health
46846,415,22,0.05301204819277108,0.00963855421686747,health
40497,604,21,0.0347682119205298,0.006622516556291391,health
35,578,20,0.03460207612456748,0.006920415224913495,health
481,535,20,0.037383177570093455,0.007476635514018692,health
44149,26,17,0.6538461538461539,0.11538461538461539,health
53,192,17,0.08854166666666667,0.015625,health
40475,472,16,0.03389830508474576,0.006355932203389831,health
40476,472,16,0.03389830508474576,0.006355932203389831,health
40477,472,16,0.03389830508474576,0.006355932203389831,health
40478,472,16,0.03389830508474576,0.006355932203389831,health
46879,74,13,0.17567567567567569,0.04054054054054054,health
1464,211,11,0.052132701421800945,0.009478672985781991,health
36,301,34,0.11295681063122924,0.019933554817275746,image
182,469,22,0.046908315565031986,0.008528784648187633,image
6,158,27,0.17088607594936708,0.03164556962025317,image
32,571,17,0.0297723292469352,0.005253940455341506,image
28,440,25,0.056818181818181816,0.00909090909090909,image
40499,2125,22,0.010352941176470589,0.0018823529411764706,image
20,218,22,0.10091743119266056,0.01834862385321101,image
1459,294,21,0.07142857142857142,0.013605442176870748,image
40926,259,18,0.0694980694980695,0.011583011583011582,image
1462,132,17,0.12878787878787878,0.022727272727272728,image
40496,200,12,0.06,0.01,image
44698,233,8,0.034334763948497854,0.004291845493562232,image
1478,513,55,0.10721247563352826,0.017543859649122806,sensor_signal
1497,446,24,0.053811659192825115,0.008968609865470852,sensor_signal
40,1046,24,0.022944550669216062,0.0038240917782026767,sensor_signal
1504,223,22,0.09865470852017937,0.017937219730941704,sensor_signal
45562,1421,18,0.012667135819845179,0.00211118930330753,sensor_signal
1476,809,12,0.014833127317676144,0.002472187886279357,sensor_signal
4538,800,12,0.015,0.0025,sensor_signal
46280,174,46,0.26436781609195403,0.05172413793103448,social
1590,337,19,0.05637982195845697,0.008902077151335312,social
40701,71,9,0.1267605633802817,0.028169014084507043,social
46667,75,12,0.16,0.02666666666666667,text
1119,85,7,0.08235294117647059,0.011764705882352941,social
46938,152,9,0.05921052631578947,0.013157894736842105,social
46281,275,13,0.04727272727272727,0.01090909090909091,social
46371,25,11,0.44,0.08,social
46911,154,11,0.07142857142857142,0.012987012987012988,social
44232,3,0,0.0,0.0,none
45545,50,11,0.22,0.04,social
373,309,10,0.032362459546925564,0.006472491909385114,social
1457,148,9,0.060810810810810814,0.013513513513513514,social
46806,110,23,0.20909090909090908,0.03636363636363636,text
46937,224,11,0.049107142857142856,0.008928571428571428,text
46941,181,10,0.055248618784530384,0.011049723756906077,text
1158,344,33,0.09593023255813954,0.014534883720930232,biology
1137,344,33,0.09593023255813954,0.014534883720930232,biology
1165,344,33,0.09593023255813954,0.014534883720930232,biology
1150,344,33,0.09593023255813954,0.014534883720930232,biology
1148,344,33,0.09593023255813954,0.014534883720930232,biology
1149,344,33,0.09593023255813954,0.014534883720930232,biology
1127,344,33,0.09593023255813954,0.014534883720930232,biology
1122,344,33,0.09593023255813954,0.014534883720930232,biology
1126,344,33,0.09593023255813954,0.014534883720930232,biology
1123,344,33,0.09593023255813954,0.014534883720930232,biology
1163,344,33,0.09593023255813954,0.014534883720930232,biology
1129,344,33,0.09593023255813954,0.014534883720930232,biology
1147,344,33,0.09593023255813954,0.014534883720930232,biology
1144,344,33,0.09593023255813954,0.014534883720930232,biology
46752,101,28,0.27722772277227725,0.04950495049504951,education
43098,13,14,1.0769230769230769,0.23076923076923078,education
45748,14,7,0.5,0.07142857142857142,education
46745,949,19,0.020021074815595362,0.004214963119072708,education
46502,30,16,0.5333333333333333,0.1,finance
43595,131,20,0.15267175572519084,0.022900763358778626,finance
46605,405,28,0.0691358024691358,0.012345679012345678,health
37,463,26,0.056155507559395246,0.01079913606911447,health
46601,420,26,0.06190476190476191,0.011904761904761904,health
46733,265,11,0.04150943396226415,0.007547169811320755,health
46600,50,10,0.2,0.04,health
46602,114,10,0.08771929824561403,0.017543859649122806,health
42178,144,36,0.25,0.04861111111111111,social
44226,109,14,0.12844036697247707,0.027522935779816515,social
46652,96,16,0.16666666666666666,0.03125,text
