did,dataset,stage,classifier,error
1128,OVA_Breast,classifier_skipped,SVM,"Dataset grande demais para SVM: 1545 instâncias, 10935 features"
1128,OVA_Breast,classifier_skipped,KNN,"Dataset grande demais para KNN: 1545 instâncias, 10935 features"
1128,OVA_Breast,classifier_skipped,MLP,"Dataset grande demais para MLP: 1545 instâncias, 10935 features"
1130,OVA_Lung,classifier_skipped,SVM,"Dataset grande demais para SVM: 1545 instâncias, 10935 features"
1130,OVA_Lung,classifier_skipped,KNN,"Dataset grande demais para KNN: 1545 instâncias, 10935 features"
1130,OVA_Lung,classifier_skipped,MLP,"Dataset grande demais para MLP: 1545 instâncias, 10935 features"
1134,OVA_Kidney,classifier_skipped,SVM,"Dataset grande demais para SVM: 1545 instâncias, 10935 features"
1134,OVA_Kidney,classifier_skipped,KNN,"Dataset grande demais para KNN: 1545 instâncias, 10935 features"
1134,OVA_Kidney,classifier_skipped,MLP,"Dataset grande demais para MLP: 1545 instâncias, 10935 features"
1145,AP_Breast_Colon,classifier_skipped,SVM,"Dataset grande demais para SVM: 630 instâncias, 10935 features"
1145,AP_Breast_Colon,classifier_skipped,KNN,"Dataset grande demais para KNN: 630 instâncias, 10935 features"
1145,AP_Breast_Colon,classifier_skipped,MLP,"Dataset grande demais para MLP: 630 instâncias, 10935 features"
1158,AP_Breast_Kidney,dataset_processing,,"('Connection broken: IncompleteRead(8916916 bytes read, 36676294 more expected)', IncompleteRead(8916916 bytes read, 36676294 more expected))"
1137,AP_Colon_Kidney,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54020/AP_Colon_Kidney.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1165,AP_Breast_Ovary,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54048/AP_Breast_Ovary.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1150,AP_Breast_Lung,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54033/AP_Breast_Lung.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1148,AP_Breast_Uterus,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54031/AP_Breast_Uterus.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1149,AP_Ovary_Kidney,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54032/AP_Ovary_Kidney.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1127,AP_Breast_Omentum,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54010/AP_Breast_Omentum.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1122,AP_Breast_Prostate,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54005/AP_Breast_Prostate.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1126,AP_Colon_Lung,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54009/AP_Colon_Lung.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1123,AP_Endometrium_Breast,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54006/AP_Endometrium_Breast.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1163,AP_Lung_Kidney,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54046/AP_Lung_Kidney.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1129,AP_Uterus_Kidney,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54012/AP_Uterus_Kidney.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1147,AP_Omentum_Kidney,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54030/AP_Omentum_Kidney.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1144,AP_Prostate_Kidney,dataset_processing,,"HTTPSConnectionPool(host='openml.org', port=443): Max retries exceeded with url: /data/v1/download/54027/AP_Prostate_Kidney.arff (Caused by NameResolutionError(""HTTPSConnection(host='openml.org', port=443): Failed to resolve 'openml.org' ([Errno 11001] getaddrinfo failed)""))"
1140,AP_Ovary_Lung,classifier_skipped,SVM,"Dataset grande demais para SVM: 324 instâncias, 10935 features"
1140,AP_Ovary_Lung,classifier_skipped,KNN,"Dataset grande demais para KNN: 324 instâncias, 10935 features"
1140,AP_Ovary_Lung,classifier_skipped,MLP,"Dataset grande demais para MLP: 324 instâncias, 10935 features"
1157,AP_Endometrium_Kidney,classifier_skipped,SVM,"Dataset grande demais para SVM: 321 instâncias, 10935 features"
1157,AP_Endometrium_Kidney,classifier_skipped,KNN,"Dataset grande demais para KNN: 321 instâncias, 10935 features"
1157,AP_Endometrium_Kidney,classifier_skipped,MLP,"Dataset grande demais para MLP: 321 instâncias, 10935 features"
1136,AP_Lung_Uterus,classifier_skipped,SVM,"Dataset grande demais para SVM: 250 instâncias, 10935 features"
1136,AP_Lung_Uterus,classifier_skipped,KNN,"Dataset grande demais para KNN: 250 instâncias, 10935 features"
1136,AP_Lung_Uterus,classifier_skipped,MLP,"Dataset grande demais para MLP: 250 instâncias, 10935 features"
1132,AP_Omentum_Lung,classifier_skipped,SVM,"Dataset grande demais para SVM: 203 instâncias, 10935 features"
1132,AP_Omentum_Lung,classifier_skipped,KNN,"Dataset grande demais para KNN: 203 instâncias, 10935 features"
1132,AP_Omentum_Lung,classifier_skipped,MLP,"Dataset grande demais para MLP: 203 instâncias, 10935 features"
4134,Bioresponse,classifier_skipped,SVM,"Dataset grande demais para SVM: 3751 instâncias, 1776 features"
