target_scenario,feature_set,context_group,datasets_used,n_classes,real_f1_macro,real_mean_regret,real_zero_regret_rate,f1_delta_vs_stats,regret_reduction_vs_stats,zero_regret_delta_vs_stats,shuffle_f1_macro_mean,shuffle_f1_macro_ci95_low,shuffle_f1_macro_ci95_high,real_minus_shuffle_f1_mean,real_f1_above_shuffle_ci95,shuffle_mean_regret_mean,shuffle_mean_regret_ci95_low,shuffle_mean_regret_ci95_high,shuffle_minus_real_regret_mean,real_regret_below_shuffle_ci95
simple3_available,stats_only,none,116,3,0.4203656923936097,0.01831015457427554,0.7043103448275863,0.0,0.0,0.0,,,,,,,,,,
simple3_available,domain_label_score,domain,116,3,0.4344226609213287,0.01635180244967315,0.7241379310344828,0.014056968527718983,0.0019583521246023874,0.019827586206896508,0.41430309268643684,0.39834106088495475,0.4255396727208665,0.02011956823489186,True,0.01851383704730576,0.01755074775288795,0.019418621788590627,0.0021620345976326068,True
simple3_available,semantic_tags_fixed_vocab,semantic,116,3,0.4177933177933178,0.017151753937999243,0.7155172413793104,-0.0025723746002919157,0.001158400636276296,0.011206896551724133,0.4091925626717703,0.38910354925958585,0.4341776887359381,0.00860075512154751,False,0.018730843160630062,0.01648665540235831,0.02081823141758045,0.0015790892226308188,False
simple3_available,context_full,full,116,3,0.43614230183971214,0.015663261411996324,0.7327586206896551,0.01577660944610243,0.0026468931622792152,0.028448275862068884,0.40688993822352365,0.38704163118598495,0.4322563144557342,0.029252363616188493,True,0.018949205621493364,0.016527597559781386,0.02123659115166082,0.0032859442094970402,True
simple3_same107,stats_only,none,107,3,0.40666975572169345,0.019444170344327313,0.6869158878504673,0.0,0.0,0.0,,,,,,,,,,
simple3_same107,domain_label_score,domain,107,3,0.4266527179106882,0.01754645906200758,0.7074766355140187,0.019982962188994757,0.0018977112823197334,0.020560747663551426,0.4086840338866541,0.40071788660766655,0.41949548183775504,0.01796868402403412,True,0.018991999814668446,0.01790563959390442,0.020195308765197355,0.0014455407526608663,True
simple3_same107,semantic_tags_fixed_vocab,semantic,107,3,0.41692095091787845,0.017001963627931115,0.7037383177570093,0.010251195196185003,0.002442206716396198,0.016822429906542036,0.3999502733602921,0.38498556592159944,0.4249772511441062,0.016970677557586356,False,0.019951395292707595,0.018883887380427504,0.021936439177278104,0.0029494316647764793,True
simple3_same107,context_full,full,107,3,0.43284632556822933,0.016476377713421718,0.711214953271028,0.02617656984653588,0.0029677926309055955,0.024299065420560706,0.39964745474438157,0.37769648863141825,0.43672098417549166,0.03319887082384776,False,0.020226039639656673,0.018080736234292114,0.02253092800977822,0.0037496619262349547,True
heavy3_same107,stats_only,none,107,3,0.4663884674397371,0.015138273193118442,0.5841121495327103,0.0,0.0,0.0,,,,,,,,,,
heavy3_same107,domain_label_score,domain,107,3,0.4827973984092478,0.013897947525586249,0.5990654205607476,0.016408930969510682,0.0012403256675321932,0.01495327102803734,0.46458230473570133,0.4452787621726014,0.4821905082506299,0.018215093673546456,True,0.016222217178728588,0.01497187333780415,0.01780191746417197,0.002324269653142339,True
heavy3_same107,semantic_tags_fixed_vocab,semantic,107,3,0.4722811171793775,0.014971209645721075,0.5822429906542056,0.0058926497396403765,0.0001670635473973673,-0.0018691588785046953,0.44907782403660373,0.42171999822241124,0.47645198718212917,0.02320329314277375,False,0.01825838766922873,0.016543139239961827,0.02019511379712511,0.003287178023507654,True
heavy3_same107,context_full,full,107,3,0.4817452910936367,0.013564275167933751,0.6009345794392523,0.015356823653899565,0.0015739980251846912,0.016822429906542036,0.4459933323268335,0.412035424423193,0.47996720742892784,0.03575195876680315,True,0.01859286046382074,0.016295917177801652,0.02115688862311976,0.005028585295886991,True
all6_same107,stats_only,none,107,6,0.2705438989786731,0.020794757251641434,0.44485981308411215,0.0,0.0,0.0,,,,,,,,,,
all6_same107,domain_label_score,domain,107,6,0.2637658436702507,0.01924663236692058,0.4411214953271028,-0.006778055308422404,0.0015481248847208536,-0.003738317757009335,0.2684009159955947,0.2509884436916703,0.2886791658673597,-0.004635072325343992,False,0.020553455328685737,0.01865887838169606,0.022013079334256825,0.0013068229617651562,False
all6_same107,semantic_tags_fixed_vocab,semantic,107,6,0.27237681056905116,0.020032141494518808,0.44766355140186914,0.0018329115903780724,0.0007626157571226262,0.0028037383177569875,0.26353918206728816,0.24479334105241152,0.3052961874082351,0.008837628501763006,False,0.021653643804838373,0.019917036948851056,0.02402936802121384,0.0016215023103195655,False
all6_same107,context_full,full,107,6,0.2688118786366716,0.019285958690157777,0.44299065420560746,-0.0017320203420014835,0.0015087985614836569,-0.0018691588785046953,0.26349226692844585,0.24204482671307304,0.30508959521909107,0.005319611708225758,False,0.02156506075223485,0.01915726574464923,0.024882266800716618,0.0022791020620770742,False
