target_scenario,feature_set,context_group,variant,shuffle_id,target_classifiers,datasets_used,n_statistical_features,target_classes,n_classes,n_repeats,n_splits,accuracy,f1_macro,f1_weighted,mean_regret,median_regret,p90_regret,mean_normalized_regret,zero_regret_rate,within_1pp_rate,within_5pp_rate
simple3_available,stats_only,none,real,,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.6793103448275862,0.4203656923936097,0.6374779874835103,0.01831015457427554,0.0,0.057620222412318546,0.023898845560989593,0.7043103448275863,0.8206896551724138,0.8896551724137931
simple3_available,domain_label_score,domain,real,,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.7008620689655173,0.4344226609213287,0.6594824355217975,0.01635180244967315,0.0,0.038461538461538214,0.02158103899000908,0.7241379310344828,0.8422413793103448,0.9103448275862069
simple3_available,semantic_tags_fixed_vocab,semantic,real,,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.6844827586206896,0.4177933177933178,0.6414094526163492,0.017151753937999243,0.0,0.047585601404740996,0.0219762696961919,0.7155172413793104,0.8327586206896552,0.9017241379310345
simple3_available,context_full,full,real,,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.7017241379310345,0.43614230183971214,0.6572452885649082,0.015663261411996324,0.0,0.03510355367400409,0.020673137736438703,0.7327586206896551,0.85,0.9146551724137931
simple3_available,domain_label_score_shuffled,domain,shuffled,0.0,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.6732758620689655,0.40371724905340794,0.6268856377430453,0.018504447963529323,0.0,0.05740000000000001,0.02379870156442454,0.6982758620689655,0.8146551724137931,0.8862068965517241
simple3_available,domain_label_score_shuffled,domain,shuffled,1.0,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.6732758620689655,0.4118158541345999,0.6289264663680069,0.0187339272299399,0.0,0.057620222412318546,0.024044487168277198,0.6982758620689655,0.8137931034482758,0.8896551724137931
simple3_available,domain_label_score_shuffled,domain,shuffled,2.0,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.6655172413793103,0.39847194595436924,0.6203730556371232,0.019408908109162504,0.0,0.06549546632124359,0.02529242589767955,0.6870689655172414,0.8077586206896552,0.875
simple3_available,domain_label_score_shuffled,domain,shuffled,3.0,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.6793103448275862,0.41412448141529473,0.6369026812167589,0.018588896368864436,0.0,0.05711245734734755,0.023803611451664344,0.7025862068965517,0.8181034482758621,0.8905172413793103
simple3_available,domain_label_score_shuffled,domain,shuffled,4.0,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.678448275862069,0.41268486531644427,0.635508272078145,0.01876984723009862,0.0,0.05960222412318239,0.024338687847204526,0.7017241379310345,0.8163793103448276,0.8870689655172413
simple3_available,domain_label_score_shuffled,domain,shuffled,5.0,"DecisionTree, LogisticRegression, Perceptron",116,63,"DecisionTree, LogisticRegression, Perceptron",3,10,5,0.6836206896551724,0.4199688013396274,0.6426468478919846,0.018252653837269858,0.0,0.05708050816371946,0.02399033658300617,0.7086206896551724,0.821551724137931,0.8905172413793103
