did,DecisionTree,KNN,LogisticRegression,MLP,Perceptron,SVM,best_classifier,best_accuracy
6,0.87645,0.94405,0.77265,0.9383,0.4742999999999999,0.9074,KNN,0.94405
13,0.6364186327888687,0.7340592861464005,0.7166969147005445,0.7029038112522686,0.6545069570477919,0.7448275862068966,SVM,0.7448275862068966
15,0.935611510791367,0.967070914696814,0.9656628982528264,0.9628057553956836,0.951387461459404,0.9656526207605344,KNN,0.967070914696814
20,0.8690000000000001,0.978,0.9595,0.969,0.9405,0.978,SVM,0.978
28,0.897864768683274,0.9756227758007118,0.9717081850533807,0.9816725978647688,0.9425266903914592,0.98576512455516,SVM,0.98576512455516
31,0.6940000000000001,0.718,0.715,0.7,0.612,0.728,SVM,0.728
32,0.9593342742854828,0.9929949133136452,0.9510557574147568,0.9935409469355124,0.899926014844203,0.9920854503722224,MLP,0.9935409469355124
35,0.9398000740466492,0.95897815623843,0.9699000370233246,0.9671603109959276,0.9644576082932248,0.9753794890781192,SVM,0.9753794890781192
36,0.9645021645021644,0.9354978354978356,0.932034632034632,0.971861471861472,0.8562770562770563,0.9173160173160172,MLP,0.971861471861472
37,0.7017485782191665,0.7278244631185808,0.7746965452847806,0.7617180205415499,0.7162380103556574,0.7629997453526866,LogisticRegression,0.7746965452847806
40,0.7116144018583043,0.8219512195121951,0.7836236933797908,0.851335656213705,0.7358885017421603,0.8605110336817654,SVM,0.8605110336817654
46,0.9078369905956112,0.6492163009404388,0.8338557993730408,0.8586206896551725,0.7539184952978056,0.8689655172413794,DecisionTree,0.9078369905956112
49,0.715846994535519,0.8117486338797815,0.8515300546448088,0.8185245901639344,0.7822950819672132,0.8448633879781422,LogisticRegression,0.8515300546448088
53,0.7185185185185186,0.8037037037037036,0.837037037037037,0.8518518518518519,0.7111111111111111,0.8407407407407407,MLP,0.8518518518518519
151,0.886895354480918,0.8344807222928308,0.7551200499371074,0.8109989800667746,0.6581947262270851,0.6151564152090374,DecisionTree,0.886895354480918
182,0.8584758942457231,0.9069984447900468,0.8567651632970451,0.908398133748056,0.7771384136858476,0.900933125972006,MLP,0.908398133748056
316,0.9710375921838372,0.9859333025340932,0.976828704891946,0.9851060007186488,0.97227555053642,0.9859333025340932,SVM,0.9859333025340932
373,0.4856043956043955,0.4282417582417582,0.2869230769230769,0.3354945054945055,0.2684615384615385,0.3328571428571428,DecisionTree,0.4856043956043955
481,0.8803716608594657,0.8807200929152149,0.8804878048780488,0.9045296167247386,0.7793263646922183,0.8950058072009291,MLP,0.9045296167247386
1011,0.9166812993854258,0.9702809482001756,0.9642669007901667,0.96729587357331,0.8658472344161545,0.9612379280070236,KNN,0.9702809482001756
1119,0.8123214023663126,,0.8247289252528773,,0.746167106346747,,LogisticRegression,0.8247289252528773
1122,0.9903320599471056,0.9903320599471056,0.9903320599471056,0.9878930355568616,0.9854540111666176,0.9879518072289156,DecisionTree,0.9903320599471056
1123,0.9432098765432098,0.9679012345679012,0.9851851851851852,0.8148148148148149,0.9679012345679012,0.965432098765432,LogisticRegression,0.9851851851851852
1126,0.9392594769321188,0.9005877167205407,0.958830443726124,0.9587716720540698,0.9514252130473112,0.9490449603291214,LogisticRegression,0.958830443726124
1127,0.931064425770308,0.9430532212885154,0.9667226890756302,0.9571988795518208,0.9119607843137254,0.9643697478991596,LogisticRegression,0.9667226890756302
1128,0.9320388349514562,0.9352750809061486,0.9689320388349516,0.9689320388349516,0.9656957928802588,0.9676375404530744,LogisticRegression,0.9689320388349516
1129,0.9401230348598768,0.9661312371838688,0.9791182501708816,0.9765208475734792,0.9635338345864662,0.966097060833903,LogisticRegression,0.9791182501708816
1130,0.9650485436893204,0.9676375404530744,0.9818770226537218,0.9792880258899676,0.977346278317152,0.973462783171521,LogisticRegression,0.9818770226537218
