did,n_rows,n_feat,HistGB,RandomForest,ExtraTrees,SVM_RBF,LogReg,KNN,MLP,GaussianNB,best
46,2001,60,0.9605174563591022,0.9510274314214463,0.9550261845386533,0.8465685785536159,0.833073566084788,0.6206733167082295,0.8140835411471322,0.9035548628428927,HistGB
40670,1999,180,0.9544799498746868,0.9469786967418546,0.9484749373433585,0.9474749373433584,0.9339598997493734,0.7738884711779449,0.9349586466165413,0.9099636591478697,HistGB
1128,1545,10935,0.9702265372168284,0.9689320388349515,0.9663430420711974,0.9585760517799352,0.9728155339805825,0.9352750809061486,0.9689320388349515,0.9618122977346278,LogReg
1130,1545,10935,0.9857605177993527,0.9792880258899677,0.9741100323624596,0.9728155339805825,0.9779935275080908,0.9676375404530745,0.9741100323624596,0.9508090614886731,HistGB
1134,1545,10935,0.9870550161812298,0.9844660194174757,0.9838187702265373,0.9831715210355988,0.9857605177993527,0.9799352750809062,0.9877022653721683,0.9851132686084142,MLP
1494,1055,41,0.8786729857819905,0.8682464454976303,0.8691943127962085,0.8843601895734597,0.8701421800947868,0.8616113744075831,0.8824644549763032,0.6815165876777252,SVM_RBF
1145,630,10935,0.9714285714285713,0.9619047619047618,0.9619047619047618,0.946031746031746,0.9634920634920634,0.9301587301587302,0.9539682539682539,0.9555555555555555,HistGB
1140,324,10935,0.9506730769230771,0.9475480769230771,0.950721153846154,0.9012980769230768,0.9383653846153847,0.9135576923076922,0.9198076923076923,0.9167307692307691,ExtraTrees
1157,321,10935,0.9813461538461539,0.9782211538461538,0.984423076923077,0.9564423076923078,0.9875480769230769,0.9688461538461539,0.98125,0.9875480769230769,LogReg
1136,250,10935,0.9559999999999998,0.944,0.9359999999999999,0.8879999999999999,0.9279999999999999,0.9079999999999998,0.916,0.916,HistGB
1132,203,10935,0.9210975609756098,0.9110975609756098,0.9160975609756099,0.9309756097560975,0.9260975609756097,0.9113414634146343,0.9014634146341465,0.9259756097560976,SVM_RBF
46827,779,12,0.668767576509512,0.6789991728701406,0.6764681555004135,0.5905045492142266,0.630272952853598,0.5905045492142266,0.5223573200992556,0.6405210918114144,RandomForest
4134,2000,1776,0.785,0.7855,0.7805,0.7689999999999999,0.7129999999999999,0.7434999999999999,0.7585,0.6025,RandomForest
1412,226,23,0.8495652173913044,0.8716908212560387,0.8673429951690821,0.8674396135265701,0.8583574879227054,0.885024154589372,0.8717874396135266,0.8229951690821256,KNN
46850,1385,28,0.24620938628158848,0.25415162454873647,0.24259927797833933,0.2512635379061372,0.24620938628158848,0.251985559566787,0.26498194945848375,0.2527075812274368,MLP
151,2000,8,0.82,0.8234999999999999,0.8115,0.7905,0.7705,0.7565000000000001,0.7949999999999999,0.7095,RandomForest
316,2000,116,0.986,0.986,0.986,0.986,0.9775,0.986,0.986,0.8055,HistGB
1011,336,7,0.9553555750658471,0.9613257243195786,0.9672519754170323,0.9643107989464441,0.9642669007901669,0.9702809482001756,0.9702809482001754,0.616110623353819,KNN
46874,2000,16,0.8324999999999999,0.837,0.835,0.842,0.8474999999999999,0.7285,0.8385,0.525,LogReg
1508,403,5,0.9058024691358024,0.9108950617283952,0.9256481481481481,0.9033950617283951,0.890925925925926,0.7841666666666666,0.9158024691358024,0.843888888888889,ExtraTrees
46960,2000,36,0.741,0.746,0.75,0.7170000000000001,0.7455,0.5439999999999999,0.6944999999999999,0.6645000000000001,ExtraTrees
43255,1000,7,0.8549999999999999,0.8619999999999999,0.845,0.8789999999999999,0.8939999999999999,0.748,0.885,0.691,LogReg
43890,2000,11,1.0,1.0,0.998,0.993,1.0,0.9109999999999999,1.0,0.892,HistGB
46940,2000,25,0.8799999999999999,0.8800000000000001,0.8789999999999999,0.851,0.875,0.8160000000000001,0.8695,0.821,RandomForest
