did,name,family,NumberOfInstances,NumberOfFeatures,NumberOfClasses
46560,dataset_credit_score,credit_score,50000.0,28.0,3.0
42141,SVHN_medium,svhn_medium,49644.0,3073.0,10.0
46770,Meta_Album_BRD_Extended,meta_album,49053.0,3.0,315.0
45051,adult-test,adult,48842.0,15.0,2.0
46070,Stylized_Meta_Album_TEX_DTD_STY_Extended,stylized_meta,48000.0,7.0,20.0
40985,tamilnadu-electricity,tamilnadu_electricity,45781.0,4.0,20.0
151,electricity,electricity,45312.0,9.0,2.0
1461,bank-marketing,bank_marketing,45211.0,17.0,2.0
279,meta_stream_intervals.arff,meta_stream,45164.0,75.0,11.0
46565,Loan_Approval_Status,loan_approval,45000.0,14.0,2.0
46468,Give-Me-Some-Credit-Sampled,give_some,45000.0,11.0,2.0
46553,Loan_Status,loan_status,45000.0,14.0,2.0
41027,jungle_chess_2pcs_raw_endgame_complete,jungle_chess,44819.0,7.0,3.0
46561,EDA-Home-Mortgage-NY-Sampled-Dataset,eda_home,43965.0,101.0,6.0
41762,FOREX_audsgd-hour-Close,forex_audsgd,43825.0,12.0,2.0
41758,FOREX_eursgd-hour-Close,forex_eursgd,43825.0,12.0,2.0
41763,FOREX_audcad-hour-High,forex_audcad,43825.0,12.0,2.0
41727,FOREX_usdcad-hour-Close,forex_usdcad,43825.0,12.0,2.0
41734,FOREX_eurpln-hour-Close,forex_eurpln,43825.0,12.0,2.0
41715,FOREX_eurhuf-hour-High,forex_eurhuf,43825.0,12.0,2.0
41723,FOREX_cadchf-hour-High,forex_cadchf,43825.0,12.0,2.0
41709,FOREX_audchf-hour-High,forex_audchf,43825.0,12.0,2.0
41718,FOREX_audjpy-hour-High,forex_audjpy,43825.0,12.0,2.0
41712,FOREX_eurcad-hour-High,forex_eurcad,43825.0,12.0,2.0
41804,FOREX_gbpusd-hour-Close,forex_gbpusd,43825.0,12.0,2.0
41799,FOREX_eurhkd-hour-Close,forex_eurhkd,43825.0,12.0,2.0
41871,FOREX_usddkk-hour-Close,forex_usddkk,43825.0,12.0,2.0
41873,FOREX_eurusd-hour-High,forex_eurusd,43825.0,12.0,2.0
41777,FOREX_eurjpy-hour-High,forex_eurjpy,43825.0,12.0,2.0
41779,FOREX_eursek-hour-High,forex_eursek,43825.0,12.0,2.0
41768,FOREX_eurnok-hour-High,forex_eurnok,43825.0,12.0,2.0
41773,FOREX_eurtry-hour-Close,forex_eurtry,43825.0,12.0,2.0
41780,FOREX_usdchf-hour-High,forex_usdchf,43825.0,12.0,2.0
41824,FOREX_eurgbp-hour-Close,forex_eurgbp,43825.0,12.0,2.0
41878,FOREX_audusd-hour-Close,forex_audusd,43825.0,12.0,2.0
41877,FOREX_eurchf-hour-Close,forex_eurchf,43825.0,12.0,2.0
41898,FOREX_audnzd-hour-Close,forex_audnzd,43825.0,12.0,2.0
41881,FOREX_chfjpy-hour-High,forex_chfjpy,43825.0,12.0,2.0
41833,FOREX_cadjpy-hour-High,forex_cadjpy,43825.0,12.0,2.0
41835,FOREX_euraud-hour-High,forex_euraud,43825.0,12.0,2.0
41832,FOREX_nzdusd-hour-Close,forex_nzdusd,43825.0,12.0,2.0
41856,FOREX_eurdkk-hour-High,forex_eurdkk,43825.0,12.0,2.0
41886,FOREX_eurnzd-hour-Close,forex_eurnzd,43825.0,12.0,2.0
41885,FOREX_chfsgd-hour-Close,forex_chfsgd,43825.0,12.0,2.0
41782,FOREX_usdjpy-hour-Close,forex_usdjpy,43825.0,12.0,2.0
41805,FOREX_eurrub-hour-High,forex_eurrub,43825.0,12.0,2.0
46822,Dynamically-Generated-Hate-Speech-Dataset,dynamically_generated,41144.0,9.0,2.0
727,2dplanes,2dplanes,40768.0,11.0,2.0
901,fried,fried,40768.0,11.0,2.0
881,mv,mv,40768.0,11.0,2.0
41434,Click_prediction_small,click_prediction,39948.0,12.0,2.0
251,BNG(breast-w),bng_breast,39366.0,10.0,2.0
137,BNG(tic-tac-toe),bng_tic,39366.0,10.0,2.0
350,webdata_wXa,webdata_wxa,36974.0,124.0,2.0
45714,PriceRunner,pricerunner,35300.0,6.0,10.0
46371,Customer_Churn_Classification_Nominal,customer_churn,35000.0,25.0,2.0
1486,nomao,nomao,34465.0,119.0,2.0
43551,Employee-Turnover-at-TECHCO,employee_turnover,34452.0,10.0,2.0
4135,Amazon_employee_access,amazon_employee,32769.0,10.0,2.0
1119,adult-census,adult_census,32561.0,16.0,2.0
46548,dataset_default_of_credit_card_clients,default_credit,30000.0,24.0,2.0
46871,Advanced_IoT_Dataset,advanced_iot,30000.0,14.0,6.0
46919,credit_card_clients_default,credit_card,30000.0,24.0,2.0
1537,volcanoes-c1,volcanoes,28626.0,4.0,5.0
1481,kr-vs-k,kr-vs-k,28056.0,7.0,18.0
184,kropt,kropt,28056.0,7.0,18.0
46173,King-rook-vs-King,king_rook,28056.0,7.0,18.0
46874,student_depression_dataset,student_depression,27901.0,17.0,2.0
46541,dataset_china,china,27522.0,28.0,5.0
46682,CodeXGLUE,codexglue,27318.0,6.0,2.0
42493,airlines,airlines,26969.0,8.0,2.0
45067,okcupid_stem,okcupid_stem,26677.0,14.0,3.0
45037,BitcoinHeist_Ransomware,bitcoinheist_ransomware,24780.0,8.0,2.0
843,house_8L,house,22784.0,9.0,2.0
821,house_16H,house_16h,22784.0,17.0,2.0
45504,timing-attack-dataset-20-micro-seconds-delay-2022-09-20,timing_attack,21992.0,125.0,11.0
43890,law-school-admission-bianry,law_school,20800.0,12.0,2.0
823,houses,houses,20640.0,9.0,2.0
45578,California-Housing-Classification,california_housing,20640.0,9.0,2.0
