target,balancer,f1_baseline,f1_baseline_std,f1_semantic,f1_semantic_std,delta_semantic_minus_baseline,p_value,folds_won
6_classes,none,0.1941827378172646,0.059266049930125866,0.20188467008978517,0.06035943354257207,0.007701932272520509,0.27909731635136303,23/50
6_classes,smote,0.19917653631198523,0.06947131169673827,0.19429344262548598,0.06662531347846805,-0.004883093686499254,0.49918156574663114,21/50
6_classes,over,0.21422516776309344,0.07673983671317931,0.2057971027367312,0.060941862962368476,-0.008428065026362237,0.30385301136053633,22/50
6_classes,under,0.19804185520361992,0.07536982265208304,0.19853872053872051,0.07731117510297687,0.0004968653351006294,0.9522287601170646,24/50
3_way,none,0.5138043812146068,0.09327958477483211,0.521791619385037,0.09228375967513443,0.007987238170430169,0.45912102726965753,23/50
3_way,smote,0.5334104007910846,0.11580056679502942,0.5362081885652308,0.08853699782922998,0.002797787774146196,0.7688183332971016,23/50
3_way,over,0.5343939913568531,0.09793109566645813,0.552835186104666,0.10072658723656196,0.01844119474781295,0.06163793186413296,27/50
3_way,under,0.512693856992282,0.10400080360780226,0.5251939704791502,0.09866725347236086,0.012500113486868114,0.20897128380705576,29/50
complex_worth_m0.01,none,0.5983440088753839,0.08520230245454755,0.612224938209345,0.08724550435405223,0.013880929333961128,0.11332820471932152,17/50
complex_worth_m0.01,smote,0.6160317338261107,0.10301728304313285,0.6195181457748216,0.0932862466330755,0.0034864119487109536,0.753771300938197,27/50
complex_worth_m0.01,over,0.6114804916093804,0.0981361976516535,0.6195220747399635,0.1050053403147637,0.008041583130582978,0.4179811488142762,22/50
complex_worth_m0.01,under,0.5937523331700375,0.11036251915661859,0.5787890903768712,0.10420457860673722,-0.014963242793166236,0.07608883486918404,12/50
