config,seed,f1,delta,median_delta,p_wilcoxon,folds_won
baseline_stat_only,42,0.4136351654948355,0.0,0.0,,-
baseline_stat_only,7,0.4077377528819981,0.0,0.0,,-
baseline_stat_only,123,0.40639631893883094,0.0,0.0,,-
+domain_score_ORIGINAL(confundido),42,0.4261145199684973,0.012479354473661872,0.0,0.004902826274697196,42/100
+domain_score_ORIGINAL(confundido),7,0.429530934135583,0.02179318125358497,0.011509971509971517,8.55292731345417e-06,52/100
+domain_score_ORIGINAL(confundido),123,0.4234260051013934,0.017029686162562563,0.0,8.009543520763118e-05,41/100
+score_desc (A),42,0.4238358254481046,0.01020065995326906,0.0,0.017605122766502286,38/100
+score_desc (A),7,0.4266702680251067,0.018932515143108612,0.0,0.0003492890784222017,45/100
+score_desc (A),123,0.4234298692666353,0.017033550327804438,0.0,5.6894777622753314e-05,40/100
+score_desc_norm (A+B),42,0.41173869379372235,-0.001896471701113168,0.0,0.48203266660128674,22/100
+score_desc_norm (A+B),7,0.41000642339687354,0.0022686705148754504,0.0,0.45243862714018823,27/100
+score_desc_norm (A+B),123,0.4076527538354078,0.0012564348965768558,0.0,0.7416039545179804,29/100
+hits_desc_norm (A+B),42,0.4108317054553698,-0.0028034600394657326,0.0,0.4434858887307086,25/100
+hits_desc_norm (A+B),7,0.4105561684157837,0.0028184155337855565,0.0,0.44854691862104934,26/100
+hits_desc_norm (A+B),123,0.40933909070722846,0.002942771768397595,0.0,0.38497336362357615,29/100
+domain_desc_label (categoria limpa),42,0.4082637499062397,-0.005371415588595756,0.0,0.10690089945812564,20/100
+domain_desc_label (categoria limpa),7,0.40493067859742427,-0.002807074284573793,0.0,0.4854956145533139,23/100
+domain_desc_label (categoria limpa),123,0.40234928515589874,-0.0040470337829322835,0.0,0.24006321761120963,23/100
