target,config,f1_macro_mean,f1_macro_std,delta,p_value,folds_won
3_way,baseline_stat_only,0.530208090132328,0.10093365559458838,0.0,,-
3_way,clusters+domain_interaction,0.5248258800480308,0.09073440755425494,-0.005382210084297116,0.518374140026828,48/100
3_way,tags_fixed_vocab+label_score,0.532004506215499,0.09637531743917187,0.0017964160831711545,0.8214926149099847,44/100
3_way,tags+domain_interaction,0.5278727035391874,0.09005661323556276,-0.002335386593140531,0.7947953253515849,47/100
3_way,modality_interaction,0.5439004522448929,0.09800139536193354,0.013692362112565002,0.06438563499380583,48/100
complex_worth_m0.01,baseline_stat_only,0.6074606113512941,0.10403335914323329,0.0,,-
complex_worth_m0.01,clusters+domain_interaction,0.633477008022889,0.10295366818780047,0.026016396671594926,0.0038169071923891346,51/100
complex_worth_m0.01,tags_fixed_vocab+label_score,0.6037072012697107,0.10438069397383203,-0.003753410081583455,0.5764156619725156,35/100
complex_worth_m0.01,tags+domain_interaction,0.6197592244705654,0.10435973215905439,0.012298613119271266,0.14280478296538618,50/100
complex_worth_m0.01,modality_interaction,0.6198070204585595,0.10915721588562882,0.012346409107265276,0.12486552786760068,48/100
