config,domain_mode,seed,f1_mean,delta,median_delta,p_ttest,p_wilcoxon,folds_won
baseline_stat_only,none,42,0.4136351654948355,0.0,0.0,,,-
baseline_stat_only,none,7,0.4077377528819981,0.0,0.0,,,-
baseline_stat_only,none,123,0.40639631893883094,0.0,0.0,,,-
stat+domain_label,label,42,0.4114732267198518,-0.0021619387749836306,0.0,0.5765722260124851,0.705427467295278,22/100
stat+domain_label,label,7,0.4039799861597773,-0.00375776672222069,0.0,0.3104697131568902,0.4034014936566457,28/100
stat+domain_label,label,123,0.40453376642410044,-0.0018625525147305453,0.0,0.6446989253335348,0.6299658066329431,27/100
stat+domain_score,score,42,0.4323124823638906,0.018677316869055105,0.0,8.785389987438876e-05,0.00011169476639135444,46/100
stat+domain_score,score,7,0.4333157229746888,0.025577970092690704,0.02309368191721131,1.2710129136499605e-06,2.814073524908841e-06,57/100
stat+domain_score,score,123,0.43708144630382306,0.030685127364992244,0.027237141943024235,9.420103726674448e-09,8.850625260057148e-08,56/100
stat+domain_label_score,label_score,42,0.4289040118222681,0.015268846327432662,0.0,0.005605833853553489,0.004289031860353536,48/100
stat+domain_label_score,label_score,7,0.43672142572028716,0.02898367283828908,0.025589225589225606,4.070709487382133e-07,8.487130258876997e-07,57/100
stat+domain_label_score,label_score,123,0.43014573401886996,0.02374941508003915,0.012262682850918152,1.5327305618149918e-06,2.7645773473219253e-06,53/100
stat+domain_label_score_interaction,label_score_interaction,42,0.42626383804265827,0.012628672547822904,0.0168611889200124,0.03897957481930518,0.018642379109268966,51/100
stat+domain_label_score_interaction,label_score_interaction,7,0.42413316056564,0.01639540768364189,0.02309368191721131,0.005240576082339263,0.003364630395403513,56/100
stat+domain_label_score_interaction,label_score_interaction,123,0.4249217749054664,0.018525455966635455,0.018865293865293897,0.00013876981490967182,0.00018232193487664045,54/100
