config,seed,permutation_id,fold,n_test,accuracy,f1_macro,top3_accuracy,mean_regret,zero_regret_rate,within_1pp_rate,regret_coverage
baseline_stats,42,,1,115,0.4260869565217391,0.2881895141048459,0.7739130434782608,0.023470820006240126,0.4608695652173913,0.7130434782608696,1.0
baseline_stats,42,,2,108,0.37962962962962965,0.2720422822507795,0.8611111111111112,0.03224882041096714,0.3888888888888889,0.5185185185185185,1.0
baseline_stats,42,,3,108,0.3888888888888889,0.2659722222222222,0.7777777777777778,0.028538559427306934,0.4205607476635514,0.5420560747663551,0.9907407407407407
baseline_stats,42,,4,108,0.4351851851851852,0.31665162763353977,0.9074074074074074,0.025371951296442156,0.4716981132075472,0.6226415094339622,0.9814814814814815
baseline_stats,42,,5,108,0.3888888888888889,0.23542811927369647,0.7962962962962963,0.022068783098636198,0.4380952380952381,0.6476190476190476,0.9722222222222222
real_domain_rank,42,,1,115,0.41739130434782606,0.27445721583652616,0.7391304347826086,0.024131641832824135,0.45217391304347826,0.7130434782608696,1.0
real_domain_rank,42,,2,108,0.4351851851851852,0.34381008149124087,0.8611111111111112,0.034888086231709706,0.4444444444444444,0.5555555555555556,1.0
real_domain_rank,42,,3,108,0.3888888888888889,0.26695208441446117,0.7962962962962963,0.030319162803141772,0.4444444444444444,0.5648148148148148,1.0
real_domain_rank,42,,4,108,0.3888888888888889,0.2899410774410774,0.8518518518518519,0.026880514417754322,0.4485981308411215,0.5887850467289719,0.9907407407407407
real_domain_rank,42,,5,108,0.3148148148148148,0.183077492858063,0.7962962962962963,0.028479681756979146,0.3619047619047619,0.5714285714285714,0.9722222222222222
shuffled_domain_rank,42,0.0,1,115,0.4,0.2510565424358528,0.7478260869565218,0.025198453040874154,0.43478260869565216,0.6956521739130435,1.0
shuffled_domain_rank,42,0.0,2,108,0.3333333333333333,0.2922696856520386,0.8518518518518519,0.03844179719397524,0.3425925925925926,0.4444444444444444,1.0
shuffled_domain_rank,42,0.0,3,108,0.4074074074074074,0.2798162346355117,0.7870370370370371,0.023708785453794116,0.4537037037037037,0.5740740740740741,1.0
shuffled_domain_rank,42,0.0,4,108,0.4166666666666667,0.30513283765316285,0.8425925925925926,0.027725665321703195,0.4672897196261682,0.6074766355140186,0.9907407407407407
shuffled_domain_rank,42,0.0,5,108,0.2777777777777778,0.15731628866417854,0.8148148148148148,0.02747685950255942,0.3113207547169811,0.5849056603773585,0.9814814814814815
shuffled_domain_rank,42,1.0,1,115,0.4434782608695652,0.28806543697848047,0.7739130434782608,0.02083090862514521,0.4782608695652174,0.7217391304347827,1.0
shuffled_domain_rank,42,1.0,2,108,0.4166666666666667,0.2840366364464781,0.8425925925925926,0.028660827292855892,0.42592592592592593,0.5648148148148148,1.0
shuffled_domain_rank,42,1.0,3,108,0.4166666666666667,0.28103047109071205,0.8148148148148148,0.02593055074437232,0.46296296296296297,0.5833333333333334,1.0
shuffled_domain_rank,42,1.0,4,108,0.4074074074074074,0.31022921522921526,0.8425925925925926,0.02489188465021637,0.4528301886792453,0.6132075471698113,0.9814814814814815
shuffled_domain_rank,42,1.0,5,108,0.3055555555555556,0.18287037037037038,0.7870370370370371,0.02733227899012624,0.34285714285714286,0.6095238095238096,0.9722222222222222
shuffled_domain_rank,42,2.0,1,115,0.4260869565217391,0.2674996720451266,0.7478260869565218,0.02288026048020095,0.46956521739130436,0.7217391304347827,1.0
shuffled_domain_rank,42,2.0,2,108,0.37962962962962965,0.2769652305366591,0.8888888888888888,0.03774396875986509,0.3888888888888889,0.5,1.0
shuffled_domain_rank,42,2.0,3,108,0.3888888888888889,0.27166847339659667,0.8055555555555556,0.030666740260146687,0.4205607476635514,0.5514018691588785,0.9907407407407407
shuffled_domain_rank,42,2.0,4,108,0.4074074074074074,0.30417895052911587,0.8796296296296297,0.026285641659192734,0.44339622641509435,0.5660377358490566,0.9814814814814815
shuffled_domain_rank,42,2.0,5,108,0.3425925925925926,0.19483327441970075,0.8148148148148148,0.025805480376103127,0.38095238095238093,0.6190476190476191,0.9722222222222222
shuffled_domain_rank,42,3.0,1,115,0.4260869565217391,0.2727626404096992,0.7739130434782608,0.021748716103214667,0.4608695652173913,0.7217391304347827,1.0
shuffled_domain_rank,42,3.0,2,108,0.39814814814814814,0.28412288930581614,0.8703703703703703,0.03235146931911613,0.4166666666666667,0.5648148148148148,1.0
shuffled_domain_rank,42,3.0,3,108,0.3888888888888889,0.2694808155820468,0.8148148148148148,0.028288064552248273,0.4351851851851852,0.5740740740740741,1.0
shuffled_domain_rank,42,3.0,4,108,0.4351851851851852,0.3268840670834027,0.8425925925925926,0.026382032708652553,0.49056603773584906,0.6132075471698113,0.9814814814814815
shuffled_domain_rank,42,3.0,5,108,0.3148148148148148,0.1829612584369101,0.8148148148148148,0.02693563329718625,0.3523809523809524,0.6095238095238096,0.9722222222222222
shuffled_domain_rank,42,4.0,1,115,0.41739130434782606,0.27200615783503485,0.782608695652174,0.02113798301171922,0.45217391304347826,0.7304347826086957,1.0
shuffled_domain_rank,42,4.0,2,108,0.37962962962962965,0.30074740074740075,0.9074074074074074,0.03931310436614495,0.3888888888888889,0.5,1.0
shuffled_domain_rank,42,4.0,3,108,0.37037037037037035,0.2513162002423396,0.8333333333333334,0.030625021641474962,0.42592592592592593,0.5648148148148148,1.0
shuffled_domain_rank,42,4.0,4,108,0.3888888888888889,0.29113810166441745,0.8425925925925926,0.02620767774029586,0.4339622641509434,0.5849056603773585,0.9814814814814815
shuffled_domain_rank,42,4.0,5,108,0.2777777777777778,0.1580476022151526,0.8148148148148148,0.02693557309272092,0.3142857142857143,0.5714285714285714,0.9722222222222222
shuffled_domain_rank,42,5.0,1,115,0.41739130434782606,0.2819038659941738,0.7739130434782608,0.02297221323526327,0.45217391304347826,0.7043478260869566,1.0
shuffled_domain_rank,42,5.0,2,108,0.4537037037037037,0.3487796925296925,0.8518518518518519,0.02893145970526157,0.4722222222222222,0.5833333333333334,1.0
shuffled_domain_rank,42,5.0,3,108,0.39814814814814814,0.2689075630252101,0.8055555555555556,0.027986059641011633,0.4351851851851852,0.5740740740740741,1.0
shuffled_domain_rank,42,5.0,4,108,0.35185185185185186,0.26848639058108215,0.8425925925925926,0.02833582012849937,0.4056603773584906,0.5849056603773585,0.9814814814814815
shuffled_domain_rank,42,5.0,5,108,0.37962962962962965,0.22417053884405316,0.8055555555555556,0.025940196610432224,0.41509433962264153,0.6132075471698113,0.9814814814814815
shuffled_domain_rank,42,6.0,1,115,0.4434782608695652,0.29377175112469234,0.782608695652174,0.02093393211548617,0.4782608695652174,0.7391304347826086,1.0
shuffled_domain_rank,42,6.0,2,108,0.4351851851851852,0.3294344766425958,0.8796296296296297,0.030306293512540657,0.4444444444444444,0.5462962962962963,1.0
shuffled_domain_rank,42,6.0,3,108,0.4166666666666667,0.28269177402761875,0.8240740740740741,0.030696256759548537,0.4537037037037037,0.5833333333333334,1.0
shuffled_domain_rank,42,6.0,4,108,0.4444444444444444,0.3192587114658332,0.8240740740740741,0.02441255318812327,0.4766355140186916,0.6261682242990654,0.9907407407407407
shuffled_domain_rank,42,6.0,5,108,0.3055555555555556,0.17924648786717753,0.7870370370370371,0.027272609813894583,0.34285714285714286,0.5904761904761905,0.9722222222222222
shuffled_domain_rank,42,7.0,1,115,0.41739130434782606,0.2682310443180009,0.8,0.02385229687672349,0.4608695652173913,0.7043478260869566,1.0
shuffled_domain_rank,42,7.0,2,108,0.4351851851851852,0.34075448361162647,0.8888888888888888,0.03400686804006555,0.4444444444444444,0.5462962962962963,1.0
shuffled_domain_rank,42,7.0,3,108,0.4074074074074074,0.2756701714502226,0.8333333333333334,0.025914661417313974,0.4444444444444444,0.5648148148148148,1.0
shuffled_domain_rank,42,7.0,4,108,0.4074074074074074,0.30063046115677694,0.8796296296296297,0.025740759036658727,0.46226415094339623,0.6226415094339622,0.9814814814814815
shuffled_domain_rank,42,7.0,5,108,0.26851851851851855,0.16218810219123111,0.8148148148148148,0.031997075703148664,0.3047619047619048,0.5714285714285714,0.9722222222222222
shuffled_domain_rank,42,8.0,1,115,0.41739130434782606,0.26745395127748073,0.7739130434782608,0.021817814068193515,0.45217391304347826,0.7217391304347827,1.0
shuffled_domain_rank,42,8.0,2,108,0.4166666666666667,0.30836739684868814,0.8888888888888888,0.036329545562040676,0.4351851851851852,0.5555555555555556,1.0
shuffled_domain_rank,42,8.0,3,108,0.35185185185185186,0.24083728245557037,0.8055555555555556,0.03172065646358201,0.40186915887850466,0.5420560747663551,0.9907407407407407
shuffled_domain_rank,42,8.0,4,108,0.39814814814814814,0.29390834665319293,0.8611111111111112,0.02535942704761573,0.4537037037037037,0.5833333333333334,1.0
shuffled_domain_rank,42,8.0,5,108,0.3333333333333333,0.19691741430871865,0.8055555555555556,0.026399680479125474,0.37142857142857144,0.6190476190476191,0.9722222222222222
shuffled_domain_rank,42,9.0,1,115,0.4,0.23979309221244705,0.8,0.022206875908197463,0.43478260869565216,0.7130434782608696,1.0
shuffled_domain_rank,42,9.0,2,108,0.4074074074074074,0.3021248729376808,0.8611111111111112,0.03852907663343518,0.42592592592592593,0.5277777777777778,1.0
shuffled_domain_rank,42,9.0,3,108,0.37962962962962965,0.2524958891237961,0.7777777777777778,0.031094224475911585,0.42592592592592593,0.5648148148148148,1.0
shuffled_domain_rank,42,9.0,4,108,0.37037037037037035,0.28436694884063307,0.8518518518518519,0.02533460850371754,0.42452830188679247,0.5943396226415094,0.9814814814814815
shuffled_domain_rank,42,9.0,5,108,0.2962962962962963,0.17574646556007364,0.8148148148148148,0.02992766257270429,0.3333333333333333,0.580952380952381,0.9722222222222222
shuffled_domain_rank,42,10.0,1,115,0.41739130434782606,0.26981721981721984,0.7739130434782608,0.02386071905338906,0.45217391304347826,0.6956521739130435,1.0
shuffled_domain_rank,42,10.0,2,108,0.39814814814814814,0.28628384451185257,0.8796296296296297,0.031578858817557426,0.4074074074074074,0.5277777777777778,1.0
shuffled_domain_rank,42,10.0,3,108,0.4166666666666667,0.2807289887603897,0.8518518518518519,0.0239973113480193,0.4485981308411215,0.5794392523364486,0.9907407407407407
shuffled_domain_rank,42,10.0,4,108,0.37037037037037035,0.26980471800856093,0.8240740740740741,0.027331669466626334,0.4166666666666667,0.5740740740740741,1.0
shuffled_domain_rank,42,10.0,5,108,0.3333333333333333,0.19465329991645783,0.8333333333333334,0.023378469718621266,0.37142857142857144,0.638095238095238,0.9722222222222222
shuffled_domain_rank,42,11.0,1,115,0.4,0.2449155419743655,0.7913043478260869,0.021926225279891493,0.4434782608695652,0.7043478260869566,1.0
shuffled_domain_rank,42,11.0,2,108,0.3888888888888889,0.30074477142831263,0.8611111111111112,0.035994519776859364,0.39814814814814814,0.5277777777777778,1.0
shuffled_domain_rank,42,11.0,3,108,0.37037037037037035,0.25569353286975693,0.7962962962962963,0.03241974062561707,0.4074074074074074,0.5370370370370371,1.0
shuffled_domain_rank,42,11.0,4,108,0.4166666666666667,0.30570039474817245,0.8518518518518519,0.027598623268570485,0.4485981308411215,0.5887850467289719,0.9907407407407407
shuffled_domain_rank,42,11.0,5,108,0.3425925925925926,0.2091518849424129,0.8148148148148148,0.024461419949846155,0.37142857142857144,0.6190476190476191,0.9722222222222222
shuffled_domain_rank,42,12.0,1,115,0.4260869565217391,0.2648092154703898,0.7391304347826086,0.022342315120350915,0.46956521739130436,0.7130434782608696,1.0
shuffled_domain_rank,42,12.0,2,108,0.37962962962962965,0.276752487278803,0.8518518518518519,0.03452607175458854,0.3888888888888889,0.5092592592592593,1.0
shuffled_domain_rank,42,12.0,3,108,0.37962962962962965,0.25856257705393376,0.8055555555555556,0.027997791815269936,0.4351851851851852,0.5740740740740741,1.0
shuffled_domain_rank,42,12.0,4,108,0.3611111111111111,0.27140094640094636,0.8333333333333334,0.02797097777189263,0.4056603773584906,0.5471698113207547,0.9814814814814815
shuffled_domain_rank,42,12.0,5,108,0.2777777777777778,0.15688873250449606,0.8240740740740741,0.026827318663504733,0.3113207547169811,0.6320754716981132,0.9814814814814815
shuffled_domain_rank,42,13.0,1,115,0.4434782608695652,0.3021783539024918,0.7739130434782608,0.021875853408751134,0.4782608695652174,0.7217391304347827,1.0
shuffled_domain_rank,42,13.0,2,108,0.3425925925925926,0.2517170315551444,0.8703703703703703,0.039768615735539574,0.35185185185185186,0.48148148148148145,1.0
shuffled_domain_rank,42,13.0,3,108,0.37037037037037035,0.2501244942421413,0.7962962962962963,0.031256493211444226,0.4166666666666667,0.5648148148148148,1.0
shuffled_domain_rank,42,13.0,4,108,0.4074074074074074,0.3086288153576628,0.8425925925925926,0.025716187352045297,0.46226415094339623,0.6132075471698113,0.9814814814814815
shuffled_domain_rank,42,13.0,5,108,0.3055555555555556,0.17432166870819635,0.8240740740740741,0.02589122983948047,0.34285714285714286,0.6476190476190476,0.9722222222222222
shuffled_domain_rank,42,14.0,1,115,0.391304347826087,0.2360879173572672,0.7913043478260869,0.023384791557057166,0.43478260869565216,0.6956521739130435,1.0
shuffled_domain_rank,42,14.0,2,108,0.3425925925925926,0.27281579298386016,0.8611111111111112,0.038891499825211416,0.3611111111111111,0.48148148148148145,1.0
shuffled_domain_rank,42,14.0,3,108,0.4166666666666667,0.2829668637595467,0.7777777777777778,0.02281061044162651,0.46296296296296297,0.5833333333333334,1.0
shuffled_domain_rank,42,14.0,4,108,0.42592592592592593,0.31116757783424454,0.8148148148148148,0.02492146301716608,0.46226415094339623,0.6226415094339622,0.9814814814814815
shuffled_domain_rank,42,14.0,5,108,0.28703703703703703,0.16642638890557485,0.7962962962962963,0.029600794750431092,0.32075471698113206,0.5660377358490566,0.9814814814814815
shuffled_domain_rank,42,15.0,1,115,0.4260869565217391,0.28301328301328305,0.7652173913043478,0.022771738153369855,0.4608695652173913,0.7130434782608696,1.0
shuffled_domain_rank,42,15.0,2,108,0.46296296296296297,0.32305375842707545,0.8518518518518519,0.031251555453694374,0.4722222222222222,0.5925925925925926,1.0
shuffled_domain_rank,42,15.0,3,108,0.3888888888888889,0.25302503786866254,0.7962962962962963,0.029243423181642053,0.4351851851851852,0.5648148148148148,1.0
shuffled_domain_rank,42,15.0,4,108,0.35185185185185186,0.26075306075306076,0.8703703703703703,0.028451674352560737,0.3925233644859813,0.5514018691588785,0.9907407407407407
shuffled_domain_rank,42,15.0,5,108,0.2777777777777778,0.15694519399709342,0.8333333333333334,0.028960170514611173,0.32075471698113206,0.5660377358490566,0.9814814814814815
