seed,config,n_observations,n_unique_datasets,regret_coverage,hit_best_rate,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,chosen_accuracy_mean,oracle_accuracy_mean,domain
1,baseline_stats,547.0,547.0,0.979890310786106,0.3820840950639854,0.0266035655456633,0.0033850655059881607,0.08510207481718166,0.4216417910447761,0.5932835820895522,0.794569562410306,0.8211731279559692,ALL
1,real_domain_rank,547.0,547.0,0.9853747714808044,0.3875685557586837,0.02713742223286185,0.002813772676786508,0.0850650268054241,0.4322820037105751,0.6048237476808905,0.7937672597561946,0.8209046819890564,ALL
3,baseline_stats,547.0,547.0,0.9890310786106032,0.4076782449725777,0.026665318718351372,0.0019999999999998908,0.07963847513870348,0.4436229205175601,0.6173752310536045,0.7945801265589041,0.8212454452772555,ALL
3,real_domain_rank,547.0,547.0,0.9890310786106032,0.43327239488117003,0.0242381694963438,0.0006472491909383926,0.06450000000000009,0.4731977818853974,0.6395563770794824,0.7971592247245616,0.8213973942209053,ALL
5,baseline_stats,547.0,547.0,0.9908592321755028,0.40950639853747717,0.025408672267818913,0.0019999999999999463,0.0675000000000001,0.4483394833948339,0.6217712177121771,0.794180851951075,0.8195895242188939,ALL
5,real_domain_rank,547.0,547.0,0.9908592321755028,0.42230347349177333,0.02345284056414641,0.001226037185624751,0.06436578947368433,0.46309963099630996,0.6494464944649446,0.7966622178214892,0.8201150583856355,ALL
7,baseline_stats,547.0,547.0,0.9908592321755028,0.3930530164533821,0.025724376015088847,0.00262841224917143,0.08645000000000003,0.42988929889298894,0.6107011070110702,0.7950230624443474,0.8207474384594362,ALL
7,real_domain_rank,547.0,547.0,0.9926873857404022,0.4149908592321755,0.025171968059728614,0.0014962463200344223,0.07944411344429611,0.4530386740331492,0.6372007366482505,0.7946648857984933,0.8198368538582219,ALL
11,baseline_stats,547.0,547.0,0.9872029250457038,0.4113345521023766,0.02526472651465908,0.002427716180867734,0.07767753541863738,0.45,0.6222222222222222,0.7968071863561252,0.8220719128707844,ALL
11,real_domain_rank,547.0,547.0,0.9872029250457038,0.40950639853747717,0.024926931128962243,0.0021082248096764844,0.07767753541863738,0.44814814814814813,0.6148148148148148,0.7971449817418221,0.8220719128707844,ALL
