seed,config,fold,did,name,domain,true_best,predicted,hit_best,oracle_accuracy,chosen_accuracy,regret,zero_regret,within_1pp
42,baseline_stats,1,46770,Meta_Album_BRD_Extended,image,LogisticRegression,LogisticRegression,1,0.0047907448742497,0.0047907448742497,0.0,1.0,1.0
42,baseline_stats,1,46565,Loan_Approval_Status,finance,DecisionTree,LogisticRegression,0,0.8981555555555556,0.891,0.007155555555555582,0.0,1.0
42,baseline_stats,1,46553,Loan_Status,finance,DecisionTree,LogisticRegression,0,0.8973777777777778,0.8910222222222222,0.00635555555555567,0.0,1.0
42,baseline_stats,1,137,BNG(tic-tac-toe),other,DecisionTree,DecisionTree,1,0.7682009527616159,0.7682009527616159,0.0,1.0,1.0
42,baseline_stats,1,45714,PriceRunner,biology,DecisionTree,DecisionTree,1,1.0,1.0,0.0,1.0,1.0
42,baseline_stats,1,1486,nomao,other,DecisionTree,DecisionTree,1,0.9494559698244596,0.9494559698244596,0.0,1.0,1.0
42,baseline_stats,1,46871,Advanced_IoT_Dataset,education,DecisionTree,LogisticRegression,0,1.0,1.0,0.0,1.0,1.0
42,baseline_stats,1,46874,student_depression_dataset,education,LogisticRegression,DecisionTree,0,0.8457042744231421,0.7660657992844386,0.07963847513870348,0.0,0.0
42,baseline_stats,1,46541,dataset_china,finance,DecisionTree,LogisticRegression,0,1.0,0.9967298689880236,0.003270131011976374,0.0,1.0
42,baseline_stats,1,45504,timing-attack-dataset-20-micro-seconds-delay-2022-09-20,sensor_signal,DecisionTree,LogisticRegression,0,0.2357673480092472,0.0972169560633328,0.1385503919459144,0.0,0.0
42,baseline_stats,1,46808,news_channel,text,LogisticRegression,DecisionTree,0,0.4647008555111359,0.3362739006630855,0.1284269548480504,0.0,0.0
42,baseline_stats,1,722,pol,other,DecisionTree,LogisticRegression,0,0.978,0.8893333333333334,0.08866666666666656,0.0,0.0
42,baseline_stats,1,1476,gas-drift,sensor_signal,LogisticRegression,LogisticRegression,1,0.9904385334291878,0.9904385334291878,0.0,1.0,1.0
