seed,config,fold,did,name,domain,true_best,predicted,hit_best,oracle_accuracy,chosen_accuracy,regret,zero_regret,within_1pp
42,baseline_stats,1,46770,Meta_Album_BRD_Extended,image,LogisticRegression,DecisionTree,0,0.0047907448742497,0.0029355990296107,0.0018551458446390001,0.0,1.0
42,baseline_stats,1,46565,Loan_Approval_Status,finance,DecisionTree,LogisticRegression,0,0.8981555555555556,0.891,0.007155555555555582,0.0,1.0
42,baseline_stats,1,46553,Loan_Status,finance,DecisionTree,LogisticRegression,0,0.8973777777777778,0.8910222222222222,0.00635555555555567,0.0,1.0
42,baseline_stats,1,137,BNG(tic-tac-toe),other,DecisionTree,DecisionTree,1,0.7682009527616159,0.7682009527616159,0.0,1.0,1.0
42,baseline_stats,1,45714,PriceRunner,biology,DecisionTree,DecisionTree,1,1.0,1.0,0.0,1.0,1.0
42,baseline_stats,1,1486,nomao,other,DecisionTree,DecisionTree,1,0.9494559698244596,0.9494559698244596,0.0,1.0,1.0
42,baseline_stats,1,46871,Advanced_IoT_Dataset,education,DecisionTree,DecisionTree,1,1.0,1.0,0.0,1.0,1.0
42,baseline_stats,1,46874,student_depression_dataset,education,LogisticRegression,DecisionTree,0,0.8457042744231421,0.7660657992844386,0.07963847513870348,0.0,0.0
42,baseline_stats,1,46541,dataset_china,finance,DecisionTree,LogisticRegression,0,1.0,0.9967298689880236,0.003270131011976374,0.0,1.0
42,baseline_stats,1,45504,timing-attack-dataset-20-micro-seconds-delay-2022-09-20,sensor_signal,DecisionTree,DecisionTree,1,0.2357673480092472,0.2357673480092472,0.0,1.0,1.0
42,baseline_stats,1,46808,news_channel,text,LogisticRegression,DecisionTree,0,0.4647008555111359,0.3362739006630855,0.1284269548480504,0.0,0.0
42,baseline_stats,1,722,pol,other,DecisionTree,LogisticRegression,0,0.978,0.8893333333333334,0.08866666666666656,0.0,0.0
42,baseline_stats,1,1476,gas-drift,sensor_signal,LogisticRegression,LogisticRegression,1,0.9904385334291878,0.9904385334291878,0.0,1.0,1.0
42,baseline_stats,1,734,ailerons,other,LogisticRegression,DecisionTree,0,0.8796363636363637,0.8311272727272726,0.04850909090909106,0.0,0.0
42,baseline_stats,1,1019,pendigits,image,LogisticRegression,LogisticRegression,1,0.9941775999596144,0.9941775999596144,0.0,1.0,1.0
42,baseline_stats,1,46932,heloc,finance,LogisticRegression,LogisticRegression,1,0.7171799289132246,0.7171799289132246,0.0,1.0,1.0
42,baseline_stats,1,1478,har,sensor_signal,LogisticRegression,MLP,0,0.9847561498889554,,,,
42,baseline_stats,1,46298,electrical_grid_stability_simulated_classification,sensor_signal,MLP,DecisionTree,0,0.9609,0.8432999999999999,0.11760000000000004,0.0,0.0
42,baseline_stats,1,45553,FICO-HELOC-cleaned,finance,SVM,LogisticRegression,0,0.7334603003603812,0.7286984981980942,0.004761802162287054,0.0,1.0
42,baseline_stats,1,923,visualizing_soil,other,MLP,DecisionTree,0,1.0,0.9997685185185186,0.00023148148148144365,0.0,1.0
42,baseline_stats,1,41164,fabert,health,SVM,LogisticRegression,0,0.673666153818947,0.6440473558868435,0.029618797932103536,0.0,0.0
42,baseline_stats,1,847,wind,sensor_signal,MLP,KNN,0,0.8609667170165112,0.8430191387282904,0.0179475782882208,0.0,0.0
42,baseline_stats,1,980,optdigits,image,MLP,KNN,0,0.9951957295373666,0.9948398576512456,0.000355871886120962,0.0,1.0
42,baseline_stats,1,30,page-blocks,text,MLP,LogisticRegression,0,0.9727765395306904,0.9594386984214436,0.01333784110924685,0.0,0.0
42,baseline_stats,1,46880,air-quality-and-pollution-assessment,health,MLP,LogisticRegression,0,0.9454,0.9412,0.0041999999999999815,0.0,1.0
