domain,n_datasets,n_seeds,baseline_mean_regret,domain_mean_regret,regret_reduction,regret_reduction_pct,regret_positive_seeds,regret_ttest_p,regret_wilcoxon_p,baseline_zero_regret_rate,domain_zero_regret_rate,zero_regret_delta,baseline_within_1pp_rate,domain_within_1pp_rate,within_1pp_delta,baseline_hit_best_rate,domain_hit_best_rate,hit_best_delta,chosen_accuracy_delta,regret_coverage_baseline,regret_coverage_domain
ALL,547,1,0.026608252971352966,0.02856042497007184,-0.001952171998718874,-7.3367161715601,0,,1.0,0.41385767790262173,0.40892193308550184,-0.0049357448171198914,0.5805243445692884,0.5799256505576208,-0.0005986940116675665,0.3802559414990859,0.3802559414990859,0.0,-0.0031566409397797424,0.9762340036563071,0.9835466179159049
finance,60,1,0.021147827860584414,0.008553527678363305,0.012594300182221109,59.55363484726734,1,,1.0,0.6101694915254238,0.6666666666666666,0.05649717514124286,0.7457627118644068,0.8333333333333334,0.08757062146892658,0.5833333333333334,0.65,0.06666666666666665,0.011742898364117127,0.9833333333333333,1.0
text,15,1,0.03226020979474084,0.03158440836148095,0.00067580143325989,2.094845128285747,1,,1.0,0.21428571428571427,0.26666666666666666,0.05238095238095239,0.42857142857142855,0.6,0.17142857142857143,0.13333333333333333,0.2,0.06666666666666668,0.013963657020607978,0.9333333333333333,1.0
education,40,1,0.030281526150470545,0.032007259654163345,-0.0017257335036927994,-5.698964758637119,0,,1.0,0.358974358974359,0.275,-0.08397435897435895,0.5897435897435898,0.55,-0.03974358974358971,0.35,0.25,-0.09999999999999998,0.002397858585330259,0.975,1.0
other,164,1,0.03012279951804504,0.03231330453043411,-0.0021905050123890678,-7.271917110748115,0,,1.0,0.4110429447852761,0.4012345679012346,-0.009808376884041514,0.5460122699386503,0.5432098765432098,-0.0028023933954404168,0.3780487804878049,0.36585365853658536,-0.012195121951219523,-0.003164084027392877,0.9939024390243902,0.9878048780487805
health,48,1,0.032842661296376134,0.03579231028320902,-0.0029496489868328854,-8.981150949415754,0,,1.0,0.28888888888888886,0.2978723404255319,0.008983451536643039,0.4,0.44680851063829785,0.04680851063829783,0.25,0.2708333333333333,0.020833333333333315,-0.01560956156378579,0.9375,0.9791666666666666
biology,143,1,0.022536213299505656,0.026381149016442566,-0.00384493571693691,-17.06114361733189,0,,1.0,0.460431654676259,0.45714285714285713,-0.003288797533401888,0.6546762589928058,0.6071428571428571,-0.0475334018499487,0.4195804195804196,0.43356643356643354,0.013986013986013957,-0.00869451250842257,0.972027972027972,0.9790209790209791
social,26,1,0.0215623276320122,0.028151800344755857,-0.006589472712743658,-30.560117744248966,0,,1.0,0.2692307692307692,0.2,-0.0692307692307692,0.46153846153846156,0.4,-0.06153846153846154,0.2692307692307692,0.19230769230769232,-0.0769230769230769,-0.010788556140131633,1.0,0.9615384615384616
image,35,1,0.027772328089812132,0.03608372304142927,-0.008311394951617136,-29.926893146081074,0,,1.0,0.3235294117647059,0.3939393939393939,0.07040998217468802,0.5294117647058824,0.6060606060606061,0.07664884135472372,0.2857142857142857,0.37142857142857144,0.08571428571428574,0.008017211415276781,0.9714285714285714,0.9428571428571428
sensor_signal,16,1,0.02020755893585302,0.0370829883174332,-0.01687542938158018,-83.51047959404514,0,,1.0,0.4,0.25,-0.15000000000000002,0.6,0.4375,-0.16249999999999998,0.375,0.1875,-0.1875,-0.009318552298964944,0.9375,1.0
