domain,n_datasets,n_seeds,baseline_mean_regret,domain_mean_regret,regret_reduction,regret_reduction_pct,regret_positive_seeds,regret_ttest_p,regret_wilcoxon_p,baseline_zero_regret_rate,domain_zero_regret_rate,zero_regret_delta,baseline_within_1pp_rate,domain_within_1pp_rate,within_1pp_delta,baseline_hit_best_rate,domain_hit_best_rate,hit_best_delta,chosen_accuracy_delta,regret_coverage_baseline,regret_coverage_domain
ALL,547,30,0.025452512170480314,0.024615983163308996,0.000836529007171313,3.28662648923714,23,0.0013741400248915437,0.0008718203753232956,0.4423027524481465,0.4553277894252368,0.013025036977090456,0.6204523195422669,0.6286883580707442,0.008236038528477534,0.40603290676416826,0.41791590493601455,0.011882998171846428,0.0007582163633934343,0.9892138939670935,0.9912858013406461
finance,60,30,0.028393180185378803,0.02039260413214369,0.008000576053235113,28.17780889988169,27,4.557246075644766e-05,1.4193356037139893e-06,0.5716666666666667,0.6433333333333333,0.07166666666666664,0.7016666666666665,0.7855555555555557,0.08388888888888889,0.5549999999999999,0.6266666666666667,0.07166666666666664,0.008000576053235071,1.0,1.0
image,35,30,0.02452775259925288,0.020882321275086338,0.0036454313241665428,14.862475921571319,23,0.006504342236534764,0.0015359768966223925,0.4843137254901961,0.5284313725490196,0.04411764705882353,0.6627450980392158,0.7009803921568628,0.038235294117647055,0.43238095238095237,0.4666666666666667,0.034285714285714274,0.0036454313241665553,0.9714285714285714,0.9714285714285714
text,15,30,0.02571470708037111,0.023010369184452102,0.002704337895919009,10.516697263813361,18,0.009985139892204672,0.013326152495535435,0.42000000000000004,0.42000000000000004,-1.8503717077085942e-18,0.6088888888888889,0.6088888888888889,0.0,0.3666666666666668,0.3711111111111112,0.00444444444444444,0.002704337895919014,1.0,1.0
biology,143,30,0.0212121358379426,0.02048641598438563,0.0007257198535569693,3.4212483792360917,18,0.02219265655148812,0.029325857758522034,0.50038196162208,0.5138531381920932,0.01347117657001326,0.6715827712080672,0.6814859270813662,0.009903155873298881,0.4673659673659674,0.47995337995337994,0.012587412587412585,0.00046826228038088967,0.9787878787878789,0.9820512820512822
social,26,30,0.018400319581709026,0.018088308644744863,0.0003120109369641654,1.6956821623594092,16,0.6032309435373534,0.6120056137442589,0.3674490895577851,0.38639743589743597,0.01894834633965069,0.5936309921962096,0.6039658119658121,0.01033481976960238,0.34358974358974365,0.35641025641025653,0.012820512820512829,0.0008375865146723652,0.9589743589743588,0.9679487179487178
health,48,30,0.021815683752192585,0.022684168354542514,-0.0008684846023499298,-3.9810102319742455,9,0.16636471214083276,0.0803273618221283,0.31722813238770686,0.31607565011820327,-0.001152482269503549,0.4803339243498818,0.4828900709219858,0.0025561465721040235,0.2791666666666667,0.27638888888888885,-0.002777777777777776,9.20545321658528e-05,0.9875000000000002,0.9951388888888888
education,40,30,0.033039011554666244,0.034112667904663954,-0.0010736563499977032,-3.2496624429009775,10,0.22452499320653493,0.1459994912147522,0.38166666666666665,0.39,0.008333333333333338,0.6091666666666667,0.6075,-0.001666666666666657,0.3425000000000001,0.3416666666666666,-0.0008333333333333258,-0.0010736563499977093,1.0,1.0
other,164,30,0.028900143074568417,0.030105258294434962,-0.0012051152198665437,-4.169928213701552,8,0.02590418292417653,0.017453668639063835,0.3958950571100802,0.388775001246945,-0.007120055863135311,0.581734749862836,0.5616078108633846,-0.020126938999451338,0.35609756097560974,0.3508130081300813,-0.005284552845528456,-0.0012440290925253672,0.9995934959349594,0.9995934959349594
sensor_signal,16,30,0.02059497495095084,0.022140042873591167,-0.0015450679226403255,-7.502159756542903,11,0.09755172905793305,0.1641840822994709,0.4955555555555556,0.48333333333333334,-0.012222222222222223,0.6720833333333334,0.6572222222222222,-0.014861111111111106,0.43125,0.42083333333333334,-0.010416666666666666,-0.004370115236598004,0.9916666666666667,0.9958333333333333
