target,strategy,n_comp,f1_macro_mean,f1_macro_std,p_value,delta
6_classes,baseline,0,0.1941827378172646,0.059266049930125866,,
6_classes,emb_pca10,10,0.19504820222029806,0.06814200553674415,0.907848903528038,0.0008654644030333908
6_classes,emb_pca20,20,0.1987996049283571,0.06485927478757994,0.5222814928963332,0.004616867111092446
6_classes,emb_pca30,30,0.19125528672315137,0.06667607415552751,0.7527719385378813,-0.002927451094113273
3_way,baseline,0,0.5138043812146068,0.09327958477483211,,
3_way,emb_pca10,10,0.5243569152848311,0.09436946996794823,0.3412520689208251,0.01055253407022428
3_way,emb_pca20,20,0.517952088644468,0.08400414357635404,0.6321701083985409,0.004147707429861083
3_way,emb_pca30,30,0.5162041033699247,0.08767381098585432,0.8162981402089078,0.002399722155317875
complex_worth_m0.01,baseline,0,0.5983440088753839,0.08520230245454755,,
complex_worth_m0.01,emb_pca10,10,0.5937736595592823,0.08720046915708043,0.6436277986616219,-0.004570349316101782
complex_worth_m0.01,emb_pca20,20,0.5890641537879702,0.09646926743580342,0.361319357080874,-0.009279855087413795
complex_worth_m0.01,emb_pca30,30,0.5865544200625754,0.09416235860716729,0.2751651872475948,-0.011789588812808624
