balance,config,seed,f1_baseline,f1_semantic,mean_delta,median_delta,p_ttest,p_wilcoxon,folds_won
class_weight,clusters+domain_interaction,42,0.3701574502162485,0.350675731987946,-0.019481718228302566,-0.010416666666666685,0.05062165793643893,0.11199396980006544,41/100
class_weight,clusters+domain_interaction,7,0.3803762008709646,0.37840628788229913,-0.0019699129886655126,0.0,0.8521836049329764,0.7863267043824963,49/100
class_weight,clusters+domain_interaction,123,0.38358103277628275,0.3754140466572659,-0.008166986119017006,0.0028501931075460007,0.43326802714485096,0.7206531209648266,51/100
class_weight,modality_interaction,42,0.3701574502162485,0.37022495853782034,6.75083215717881e-05,0.0,0.9937118305332872,0.9804449156245983,49/100
class_weight,modality_interaction,7,0.3803762008709646,0.3734164627680243,-0.006959738102940412,-0.00902215474583895,0.42186087114343074,0.3448951988291503,42/100
class_weight,modality_interaction,123,0.38358103277628275,0.38293215626318167,-0.0006488765131011701,0.0,0.9387576998892162,0.9503220658684335,48/100
oversample,clusters+domain_interaction,42,0.3781025155829722,0.3627064123741755,-0.015396103208796712,-0.012132312132312112,0.05968172044277712,0.0779685951696093,44/100
oversample,clusters+domain_interaction,7,0.39235150743219627,0.3884075857922607,-0.003943921639935567,0.00039682539682536766,0.6665625272591258,0.6588351431883933,50/100
oversample,clusters+domain_interaction,123,0.3856945535544607,0.3893549186358279,0.0036603650813672325,0.000779326882268061,0.6992245265131921,0.576539620098023,53/100
oversample,modality_interaction,42,0.3781025155829722,0.3860576945629191,0.00795517897994678,0.0018065998329155897,0.28251167138585187,0.39654851463132534,52/100
oversample,modality_interaction,7,0.39235150743219627,0.393054614138012,0.0007031067058156865,-0.0001313025210084029,0.9192006112837184,0.8221811637715145,46/100
oversample,modality_interaction,123,0.3856945535544607,0.3915907817672523,0.005896228212791676,0.00031565656565657463,0.49619326695603355,0.41114702711806517,50/100
