config,seed,f1,delta,median_delta,p_wilcoxon,folds_won
baseline_stat_only,42,0.4136351654948355,0.0,0.0,,-
baseline_stat_only,7,0.4077377528819981,0.0,0.0,,-
baseline_stat_only,123,0.40639631893883094,0.0,0.0,,-
+llm_domain (categoria),42,0.4127983708872635,-0.0008367946075719121,0.0,0.6903455902827655,29/100
+llm_domain (categoria),7,0.4068870112413756,-0.0008507416406225562,0.0,0.9888119002250079,27/100
+llm_domain (categoria),123,0.4116806135243869,0.005284294585555962,0.0,0.19183260710991745,31/100
+llm_confidence,42,0.41492420451102485,0.001289039016189408,0.0,0.6744159897948352,27/100
+llm_confidence,7,0.4126695133026106,0.004931760420612411,0.0,0.24157894696983762,30/100
+llm_confidence,123,0.4072372369882021,0.0008409180493712021,0.0,0.8780485831264606,23/100
+llm_domain+confidence,42,0.412843243835188,-0.0007919216596474952,0.0,0.9083711949428469,24/100
+llm_domain+confidence,7,0.4082547198908678,0.0005169670088697775,0.0,0.7982895124772504,30/100
+llm_domain+confidence,123,0.40985672271774476,0.0034604037789138574,0.0,0.37173973449401254,31/100
