variant,seed,regret_base,regret_var,delta,p_wilcoxon
+dominio_LLM,42,0.0188176159142734,0.021372127649601485,0.0025545117353280846,0.1676988853928406
+dominio_LLM,7,0.02981475081008262,0.030408145219225004,0.0005933944091423897,0.3738398566319153
+dominio_LLM,123,0.022316939065057634,0.01729437927918171,-0.005022559785875921,0.020879263166351643
+dominio_LLM,2024,0.021667384093239945,0.021943488312236886,0.00027610421899694287,0.6050949464540121
+dominio_LLM,11,0.024531101129291435,0.023699009647117183,-0.0008320914821742512,0.1730709208049953
+domain_score_orig,42,0.0188176159142734,0.02082074252032213,0.0020031266060487247,0.07118923429208965
+domain_score_orig,7,0.02981475081008262,0.030494197035077327,0.0006794462249947071,0.5301263536036207
+domain_score_orig,123,0.022316939065057634,0.018932715438123058,-0.0033842236269345733,0.007685794055213263
+domain_score_orig,2024,0.021667384093239945,0.020240522417421324,-0.001426861675818617,0.38235208985751545
+domain_score_orig,11,0.024531101129291435,0.023293261698163727,-0.0012378394311277018,0.11666446478102344
