grouping,n_classes,strategy,acc_mean,acc_std,f1_macro_mean,f1_macro_std,paired_delta_vs_baseline,paired_p_value,folds_won
6_classes,6,baseline_stat_only,0.32836956521739125,0.08328354687958697,0.1941827378172646,0.059266049930125866,,,
6_classes,6,stat_plus_interaction,0.34380434782608693,0.0846425900030715,0.2059386316024154,0.06463131077165121,,,
6_classes,6,stat_plus_modality_interaction,0.34028985507246373,0.08432332554171343,0.20188467008978517,0.06035943354257207,0.007701932272520509,0.27909731635136303,23/50
5_linear_merge,5,baseline_stat_only,0.41565217391304343,0.07372913323216651,0.27707116818211175,0.077152793399604,,,
5_linear_merge,5,stat_plus_interaction,0.4156159420289855,0.08729485057423483,0.2819065802141802,0.09116304946768126,,,
5_linear_merge,5,stat_plus_modality_interaction,0.417391304347826,0.08099183655617313,0.2842784939641206,0.07939854920206495,0.007207325782008773,0.44155702247875284,24/50
4_families,4,baseline_stat_only,0.4860144927536233,0.09564671152606811,0.38544586875150544,0.10592228201647781,,,
4_families,4,stat_plus_interaction,0.48275362318840576,0.08517517193339641,0.38691075131862257,0.09907149202452044,,,
4_families,4,stat_plus_modality_interaction,0.47072463768115946,0.091779989527297,0.3804319393301692,0.11026666741784379,-0.005013929421336208,0.6358087327657201,15/50
3_way,3,baseline_stat_only,0.6214492753623188,0.07912164175809899,0.5138043812146068,0.09327958477483211,,,
3_way,3,stat_plus_interaction,0.6239855072463767,0.08145340130866913,0.5234418402680528,0.09814290273943563,,,
3_way,3,stat_plus_modality_interaction,0.6248550724637681,0.07743020652825208,0.521791619385037,0.09228375967513443,0.007987238170430169,0.45912102726965753,23/50
2_simple_complex,2,baseline_stat_only,0.6734420289855072,0.07700516524000187,0.66351842812159,0.07812206638899076,,,
2_simple_complex,2,stat_plus_interaction,0.6682608695652174,0.07983655983629576,0.6574646180018001,0.08377309544085194,,,
2_simple_complex,2,stat_plus_modality_interaction,0.6743478260869565,0.07380601088106586,0.6650756763942087,0.07619833466477402,0.0015572482726186787,0.8578069996310866,18/50
