config,semantic_mode,domain_mode,top1_acc,top3_acc,delta_top3_vs_baseline
baseline (so estatistica),none,none,0.5045703839122486,0.8586227909811092,0.0
+ dominio label (test1/test8),none,label,0.5063985374771481,0.8580134064594759,-0.0006093845216332827
+ dominio score (test22),none,score,0.506398537477148,0.8647166361974405,0.006093845216331384
+ dominio label+score,none,label_score,0.502132845825716,0.8683729433272395,0.009750152346130303
+ tags (test21),tags_only,none,0.493601462522852,0.8604509445460086,0.001828153564899404
+ vocabulario fixo (test21),fixed_vocab,none,0.5076173065204143,0.862888482632541,0.004265691651431869
+ tags+vocab (test1 controlado),tags_fixed_vocab,none,0.4960390006093845,0.8567946374162095,-0.001828153564899626
+ clusters (test23/24),clusters_only,none,0.48507007921998785,0.8610603290676417,0.0024375380865325758
+ tags + dominio (test22),tags_only,label,0.5003046922608166,0.8647166361974407,0.006093845216331495
+ tags+vocab + dominio (test22 top),tags_fixed_vocab,label,0.5051797684338818,0.8610603290676417,0.0024375380865325758
+ clusters + interacao (test29),clusters_only,label_score_interaction,0.4728823887873248,0.8525289457647776,-0.006093845216331606
+ tudo (semantica+dominio+inter),tags_fixed_vocab,label_score_interaction,0.46983546617915906,0.850700792199878,-0.007921998781231121
