did,name,nr_attr,desc,feats
42141,SVHN_medium,1000,50% stratified subsample of the original SVHN data,"pixel1967, pixel1212, pixel3012, pixel277, pixel1965, pixel30, pixel1785, pixel1520, pixel540, pixel2549, pixel632, pixe"
45051,adult-test,14,test,"capital-gain, occupation, race, native-country, relationship, class, workclass, hours-per-week, marital-status, age, edu"
46070,Stylized_Meta_Album_TEX_DTD_STY_Extended,6,Textures dataset from Describable Textures Dataset (stylized),"FILE_NAME, STYLE, STYLE_PATH, CATEGORY, STYLIZED_PATH, STYLE_NAME, FILE_PATH"
151,electricity,8,"**Author**: M. Harries, J. Gama, A. Bifet **Source**: [Joao Gama](http://www.inescporto.pt/~jgama/ales/ales_5.html) - 2009 **Please cite**: None **Electricity** is a widely used da","period, vicprice, nswprice, class, nswdemand, day, date, vicdemand, transfer"
279,meta_stream_intervals.arff,74,,"meta_RandomTreeDepth3AUC_K=0, meta_REPTreeDepth2ErrRate, meta_RandomTreeDepth2AUC_K=0, meta_DecisionStumpAUC, meta_REPTr"
41027,jungle_chess_2pcs_raw_endgame_complete,6,"### Description ### This dataset is part of a collection datasets based on the game ""Jungle Chess"" (a.k.a. Dou Shou Qi). For a description of the rules, please refer to the paper (","white_piece0_rank, class, black_piece0_strength, black_piece0_file, white_piece0_strength, black_piece0_rank, white_piec"
41762,FOREX_audsgd-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41758,FOREX_eursgd-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41763,FOREX_audcad-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41727,FOREX_usdcad-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41734,FOREX_eurpln-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
